ITEM,CEST,NCM,Descrição,MVA Ajustado,MVA Original
3.16.0,03.021.00,2203,Cerveja em garrafa de vidro retornável,"215,62% (Alíq. 4%) 
205,75% (Alíq. 7%) 
189,32% (Alíq. 12%)",140%
3.16.1,03.021.01,2203,Cerveja em garrafa de vidro descartável,"215,62% (Alíq. 4%) 
205,75% (Alíq. 7%) 
189,32% (Alíq. 12%)",140%
3.16.2,03.021.02,2203,Cerveja em garrafa de alumínio,"215,62% (Alíq. 4%) 
205,75% (Alíq. 7%) 
189,32% (Alíq. 12%)",140%
3.16.3,03.021.03,2203,Cerveja em lata,"215,62% (Alíq. 4%) 
205,75% (Alíq. 7%) 
189,32% (Alíq. 12%)",140%
3.16.4,03.021.04,2203,Cerveja em barril,"215,62% (Alíq. 4%) 
205,75% (Alíq. 7%) 
189,32% (Alíq. 12%)",140%
3.16.5,03.021.05,2203,Cerveja em embalagem PET,"215,62% (Alíq. 4%) 
205,75% (Alíq. 7%) 
189,32% (Alíq. 12%)",140%
3.16.6,03.021.06,2203,Cerveja em outras embalagens,"215,62% (Alíq. 4%) 
205,75% (Alíq. 7%) 
189,32% (Alíq. 12%)",140%
3.17.0,03.022.00,2202.91,Cerveja sem álcool em garrafa de vidro retornável,"197,29% (Alíq. 4%) 
188,00% (Alíq. 7%) 
172,52% (Alíq. 12%)",140%
3.17.1,03.022.01,2202.91,Cerveja sem álcool em garrafa de vidro descartável,"197,29% (Alíq. 4%) 
188,00% (Alíq. 7%) 
172,52% (Alíq. 12%)",140%
3.17.2,03.022.02,2202.91,Cerveja sem álcool em garrafa de alumínio,"197,29% (Alíq. 4%) 
188,00% (Alíq. 7%) 
172,52% (Alíq. 12%)",140%
3.17.3,03.022.03,2202.91,Cerveja sem álcool em lata,"197,29% (Alíq. 4%) 
188,00% (Alíq. 7%) 
172,52% (Alíq. 12%)",140%
3.17.4,03.022.04,2202.91,Cerveja sem álcool em barril,"197,29% (Alíq. 4%) 
188,00% (Alíq. 7%) 
172,52% (Alíq. 12%)",140%
3.17.5,03.022.05,2202.91,Cerveja sem álcool em embalagem PET,"197,29% (Alíq. 4%) 
188,00% (Alíq. 7%) 
172,52% (Alíq. 12%)",140%
3.17.6,03.022.06,2202.91,Cerveja sem álcool em outras embalagens,"197,29% (Alíq. 4%) 
188,00% (Alíq. 7%) 
172,52% (Alíq. 12%)",140%
3.18,03.023.00,2203,Chope,"215,62% (Alíq. 4%) 
205,75% (Alíq. 7%) 
189,32% (Alíq. 12%)",140%
3.19,02.003.00,2208.9,Bebida refrescante com teor alcoólico inferior a 8%,"69,70% (Alíq. 4%) 
64,39% (Alíq. 7%) 
55,56% (Alíq. 12%)","29,04%"
3.20,03.024.00,2201.1,Água mineral em embalagens retornáveis com capacidade igual ou superior a 10 (dez) e inferior a 20 (vinte) litros,"158,42% (Alíq. 4%) 
150,34% (Alíq. 7%) 
136,88% (Alíq. 12%)",114%
3.21,03.025.00,2201.1,Água mineral em embalagens retornáveis com capacidade igual ou superior a 20 (vinte) litros,"158,42% (Alíq. 4%) 
150,34% (Alíq. 7%) 
136,88% (Alíq. 12%)",114%
4.1,04.001.00,2402,"Charutos, cigarrilhas e cigarros, de tabaco ou dos seus sucedâneos","Quando não houver 
preço de sugerido: 
105,71% (Alíq. 4%) 
99,29% (Alíq. 7%) 
88,57% (Alíq. 12%)","Quando não houver 
preço de sugerido: 
50%"
4.2,04.002.00,2403.1,"Tabaco para fumar, mesmo contendo sucedâneos de tabaco em qualquer proporção","Quando não houver 
preço de sugerido: 
105,71% (Alíq. 4%) 
99,29% (Alíq. 7%) 
88,57% (Alíq. 12%)","Quando não houver 
preço de sugerido: 
50%"
5.1,05.001.00,2523,Cimento,"44,91% (Alíq. 4%) 
40,38% (Alíq. 7%) 
32,83% (Alíq. 12%)",20%
6.1,06.001.01,2207.10.9,"Álcool etílico não desnaturado, com um teor alcoólico em volume igual ou superior a 80% vol. - outros (álcool etílico hidratado combustível)","As indicadas no Ato 
COTEPE 61/19 ou o 
PMPF, o que for maior","As indicadas no Ato 
COTEPE 61/19 ou o 
PMPF, o que for 
maior"
6.4,06.004.00,2710.19.19,"Querosenes, exceto de aviação","63,52%",32.5%
6.5,06.005.00,2710.19.11,Querosene de aviação,"63.52% e as indicadas no 
Ato COTEPE 61/19 nas 
operações realizadas por 
importador de 
combustíveis","32.5% e as indicadas 
no Ato COTEPE 
61/19 nas operações 
realizadas por 
importador de 
combustíveis"
6.6.9,06.006.09,2710.19.2,"Outros óleos combustíveis, exceto os classificados no CEST 06.006.10 e 06.006.11","As indicadas no Ato 
COTEPE 61/19","As indicadas no Ato 
COTEPE 61/19"
6.6.10,06.006.10,2710.19.2,Óleo combustível derivado de xisto,"As indicadas no Ato 
COTEPE 61/19","As indicadas no Ato 
COTEPE 61/19"
6.6.11,06.006.11,2710.19.22,Óleo combustível pesado,"As indicadas no Ato 
COTEPE 61/19","As indicadas no Ato 
COTEPE 61/19"
6.7,06.007.00,2710.19.3,Óleos lubrificantes,"As indicadas no Ato 
COTEPE 61/19","As indicadas no Ato 
COTEPE 61/19"
6.8.0,06.008.00,2710.19.9,"Outros óleos de petróleo ou de minerais betuminosos (exceto óleos brutos) e preparações não especificadas nem compreendidas noutras posições, que contenham, como constituintes básicos, 70% ou mais, em peso, de óleos de petróleo ou de minerais betuminosos, exceto os que contenham biodiesel, exceto os resíduos de óleos e exceto as","63,52%","32,5%"
6.8.1,06.008.01,2710.19.9,Graxa lubrificante,"63,52%","32,5%"
6.9,06.009.00,2710.9,Resíduos de óleos,"63,52%","32,5%"
6.10,06.010.00,2711,"Gás de petróleo e outros hidrocarbonetos gasosos, exceto GLP, GLGN, Gás Natural e Gás de xisto","63,52%","32,5%"
6.12,06.012.00,2711.11,Gás Natural Liquefeito,"Produtor nacional: 
207,44% (Alíq. 7%) 
190,91% (Alíq. 12%) 
Importador: 217,36%","Produtor nacional: 
190,91% Importador: 
217,36%"
6.13,06.013.00,2711.21,Gás Natural Gasoso,PMPF,PMPF
6.14,06.014.00,2711.29.9,Gás de xisto,PMPF do GNV,PMPF do GNV
6.15,06.015.00,2713,Coque de petróleo e outros resíduos de óleo de petróleo ou de minerais betuminosos,"63,52%","32,5%"
6.17,06.017.00,3403,"Preparações lubrificantes, exceto as contendo, como constituintes de base, 70% ou mais, em peso, de óleos de petróleo ou de minerais betuminosos","As indicadas no Ato 
COTEPE 61/19","As indicadas no Ato 
COTEPE 61/19"
6.18,06.018.00,2710.2,"Óleos de petróleo ou de minerais betuminosos (exceto óleos brutos) e preparações não especificadas nem compreendidas noutras posições, que contenham, como constituintes básicos, 70% ou mais, em peso, de óleos de petróleo ou de minerais betuminosos, que contenham biodiesel, exceto os resíduos de óleos","63,52%","32,5%"
6.19,06.019.00,2710.12.49,"Naftas, exceto a Nafta petroquímica",Conv. ICMS 181/24,"Conv. ICMS 
181/24"
7.1,09.001.00,8539,Lâmpadas elétricas,"93,24% (Aliq. 4%) 
87,20% (Aliq. 7%) 
77,14% (Aliq. 12%)","60,03%"
7.2,09.002.00,8540,Lâmpadas eletrônicas,"144,30% (Aliq. 4%) 
136,66% (Aliq. 7%) 
123,94% (Aliq. 12%)","102,31%"
7.3,09.003.00,8504.1,Reatores para lâmpadas ou tubos de descargas,"84,91% (Aliq. 4%) 
79,13% (Aliq. 7%) 
69,50% (Aliq. 12%)","53,13%"
7.4,09.004.00,8536.5,“Starter”,"144,30% (Aliq. 4%) 
136,66% (Aliq. 7%) 
123,94% (Aliq. 12%)","102,31%"
7.5,09.005.00,8539.52,Lâmpadas de LED (diodos emissores de luz),"97,64% (Aliq. 4%) 
91,46% (Aliq. 7%) 
81,17% (Aliq. 12%)","63,67%"
8.1,10.001.00,2522,Cal,"75,09% (Aliq. 4%) 
69,62% (Alíq. 7%) 
60,50% (Alíq. 12%)",45%
8.2,10.002.00,"3816.00.1 e 
3824.5",Argamassas,"75,09% (Aliq. 4%) 
69,62% (Alíq. 7%) 
60,50% (Alíq. 12%)",45%
8.3,10.003.00,3214.9,Outras argamassas,"75,09% (Aliq. 4%) 
69,62% (Alíq. 7%) 
60,50% (Alíq. 12%)",45%
8.4,10.004.00,3910,"Silicones em formas primárias, para uso na construção","87,17% (Aliq. 4%) 
81,32% (Alíq. 7%) 
71,57% (Alíq. 12%)",55%
8.5,10.005.00,3916,"Revestimentos de PVC e outros plásticos; forro, sancas e afins de PVC, para uso na construção","87,17% (Aliq. 4%) 
81,32% (Alíq. 7%) 
71,57% (Alíq. 12%)",55%
8.6,10.006.00,3917,"Tubos, e seus acessórios (por exemplo, juntas, cotovelos, flanges, uniões), de plásticos, para uso na construção","63,02% (Aliq. 4%) 
57,92% (Alíq. 7%) 
49,43% (Alíq. 12%)",35%
8.7,10.007.00,3918,Revestimento de pavimento de PVC e outros plásticos,"87,17% (Aliq. 4%) 
81,32% (Alíq. 7%) 
71,57% (Alíq. 12%)",55%
8.8,10.008.00,3919,"Chapas, folhas, tiras, fitas, películas e outras formas planas, autoadesivas, de plásticos, mesmo em rolos, para uso na construção","87,17% (Aliq. 4%) 
81,32% (Alíq. 7%) 
71,57% (Alíq. 12%)",55%
8.9,10.009.00,"3919, 3920 e 
3921","Veda rosca, lona plástica para uso na construção, fitas isolantes e afins","87,17% (Aliq. 4%) 
81,32% (Alíq. 7%) 
71,57% (Alíq. 12%)",55%
8.10,10.010.00,3921,"Telha de plástico, mesmo reforçada com fibra de vidro","87,17% (Aliq. 4%) 
81,32% (Alíq. 7%) 
71,57% (Alíq. 12%)",55%
8.11,10.011.00,3921,"Cumeeira de plástico, mesmo reforçada com fibra de vidro","75,09% (Aliq. 4%) 
69,62% (Alíq. 7%) 
60,50% (Alíq. 12%)",45%
8.12,10.012.00,3921,"Chapas, laminados plásticos em bobina, para uso na construção, exceto os descritos nos CEST 10.010.00 e 10.011.00","87,17% (Aliq. 4%) 
81,32% (Alíq. 7%) 
71,57% (Alíq. 12%)",55%
8.13,10.013.00,3922,"Banheiras, boxes para chuveiros, pias, lavatórios, bidês, sanitários e seus assentos e tampas, caixas de descarga e artigos semelhantes para usos sanitários ou higiênicos, de plásticos","75,09% (Aliq. 4%) 
69,62% (Alíq. 7%) 
60,50% (Alíq. 12%)",45%
8.14,10.014.00,3924,"Artefatos de higiene / toucador de plástico, para uso na construção","123,40% (Aliq. 4%) 
116,42% (Alíq. 7%) 
104,78% (Alíq. 12%)",85%
8.15,10.015.00,3925.1,"Caixa-d’água, inclusive sua tampa, de plástico, mesmo reforçadas com fibra de vidro","75,09% (Aliq. 4%) 
69,62% (Alíq. 7%) 
60,50% (Alíq. 12%)",45%
8.16,10.016.00,3925.9,"Outras telhas, cumeeira e caixa-d’água, inclusive sua tampa, de plástico, mesmo reforçadas com fibra de vidro","75,09% (Aliq. 4%) 
69,62% (Alíq. 7%) 
60,50% (Alíq. 12%)",45%
8.17,10.017.00,"3925.1 e 
3925.9","Artefatos para apetrechamento de construções, de plásticos, não especificados nem compreendidos em outras posições, incluindo persianas, sancas, molduras, apliques e rosetas, caixilhos de polietileno e outros plásticos, exceto os descritos nos CEST 10.015.00 e 10.016.00","75,09% (Aliq. 4%) 
69,62% (Alíq. 7%) 
60,50% (Alíq. 12%)",45%
8.18,10.018.00,3925.2,"Portas, janelas e seus caixilhos, alizares e soleiras","75,09% (Aliq. 4%) 
69,62% (Alíq. 7%) 
60,50% (Alíq. 12%)",45%
8.19,10.019.00,3925.3,"Postigos, estores (incluídas as venezianas) e artefatos semelhantes e suas partes","111,32% (Aliq. 4%) 
104,72% (Alíq. 7%) 
93,71% (Alíq. 12%)",75%
8.20,10.020.00,3926.9,"Outras obras de plástico, para uso na construção","75,09% (Aliq. 4%) 
69,62% (Alíq. 7%) 
60,50% (Alíq. 12%)",45%
8.21,10.021.00,4814,Papel de parede e revestimentos de parede semelhantes; papel para vitrais,"111,32% (Aliq. 4%) 
104,72% (Alíq. 7%) 
93,71% (Alíq. 12%)",75%
8.22,10.022.00,6810.19,Telhas de concreto,"87,17% (Aliq. 4%) 
81,32% (Alíq. 7%) 
71,57% (Alíq. 12%)",55%
8.24,10.024.00,6811,"Caixas d’água, tanques e reservatórios e suas tampas, telhas, calhas, cumeeiras e afins, de fibrocimento, cimento-celulose ou semelhantes, contendo ou não amianto","75,09% (Aliq. 4%) 
69,62% (Alíq. 7%) 
60,50% (Alíq. 12%)",45%
8.25,10.025.00,6901,"Tijolos, placas (lajes), ladrilhos e outras peças cerâmicas de farinhas siliciosas fósseis, (tripolita, diatomita, por exemplo) ou de terras siliciosas semelhantes","67,85% (Aliq. 4%) 
62,60% (Alíq. 7%) 
53,86% (Alíq. 12%)",39%
8.26,10.026.00,6902,"Tijolos, placas (lajes), ladrilhos e peças cerâmicas semelhantes, para construção, refratários, que não sejam de farinhas siliciosas fósseis nem de terras siliciosas semelhantes","67,85% (Aliq. 4%) 
62,60% (Alíq. 7%) 
53,86% (Alíq. 12%)",39%
8.27,10.027.00,6904,"Tijolos para construção, tijoleiras, tapa-vigas e produtos semelhantes, de cerâmica","67,85% (Aliq. 4%) 
62,60% (Alíq. 7%) 
53,86% (Alíq. 12%)",39%
8.28,10.028.00,6905,"Telhas, elementos de chaminés, condutores de fumaça, ornamentos arquitetônicos, de cerâmica, e outros produtos cerâmicos para construção","67,85% (Aliq. 4%) 
62,60% (Alíq. 7%) 
53,86% (Alíq. 12%)",39%
8.29,10.029.00,6906,"Tubos, calhas ou algerozes e acessórios para canalizações, de cerâmica","67,85% (Aliq. 4%) 
62,60% (Alíq. 7%) 
53,86% (Alíq. 12%)",39%
8.30.0,10.030.00,6907,"Ladrilhos e placas de cerâmica, exclusivamente para pavimentação ou revestimentos","87,17% (Aliq. 4%) 
81,32% (Alíq. 7%) 
71,57% (Alíq. 12%)",55%
8.30.1,10.030.01,6907,"Cubos, pastilhas e artigos semelhantes de cerâmica, mesmo com suporte, exceto os descritos CEST 10.030.00","87,17% (Aliq. 4%) 
81,32% (Alíq. 7%) 
71,57% (Alíq. 12%)",55%
8.31,10.031.00,6910,"Pias, lavatórios, colunas para lavatórios, banheiras, bidês, sanitários, caixas de descarga, mictórios e aparelhos fixos semelhantes para usos sanitários, de cerâmica","75,09% (Aliq. 4%) 
69,62% (Alíq. 7%) 
60,50% (Alíq. 12%)",45%
8.32,10.032.00,6912,Artefatos de higiene/toucador de cerâmica,"123,40% (Aliq. 4%) 
116,42% (Alíq. 7%) 
104,78% (Alíq. 12%)",85%
8.33,10.033.00,7003,"Vidro vazado ou laminado, em chapas, folhas ou perfis, mesmo com camada absorvente, refletora ou não, mas sem qualquer outro trabalho","75,09% (Aliq. 4%) 
69,62% (Alíq. 7%) 
60,50% (Alíq. 12%)",45%
8.34,10.034.00,7004,"Vidro estirado ou soprado, em folhas, mesmo com camada absorvente, refletora ou não, mas sem qualquer outro trabalho","142,72% (Aliq. 4%) 
135,13% (Alíq. 7%) 
122,49% (Alíq. 12%)",101%
8.35,10.035.00,7005,"Vidro flotado e vidro desbastado ou polido em uma ou em ambas as faces, em chapas ou em folhas, mesmo com camada absorvente, refletora ou não, mas sem qualquer outro trabalho","75,09% (Aliq. 4%) 
69,62% (Alíq. 7%) 
60,50% (Alíq. 12%)",45%
8.36,10.036.00,7007.19,Vidros temperados,"75,09% (Aliq. 4%) 
69,62% (Alíq. 7%) 
60,50% (Alíq. 12%)",45%
8.37,10.037.00,7007.29,Vidros laminados,"75,09% (Aliq. 4%) 
69,62% (Alíq. 7%) 
60,50% (Alíq. 12%)",45%
8.38,10.038.00,7008,Vidros isolantes de paredes múltiplas,"75,09% (Aliq. 4%) 
69,62% (Alíq. 7%) 
60,50% (Alíq. 12%)",45%
8.39,10.039.00,7016,"Blocos, placas, tijolos, ladrilhos, telhas e outros artefatos, de vidro prensado ou moldado, mesmo armado, para construção; cubos, pastilhas e outros artigos semelhantes","99,25% (Aliq. 4%) 
93,02% (Alíq. 7%) 
82,64% (Alíq. 12%)",65%
8.40,10.040.00,7214.2,"Barras próprias para construções, excetos vergalhões","47,27% (Alíq. 4%) 
42,67% (Alíq. 7%) 
35% (Alíq. 12%)",35%
8.41,10.041.00,7308.90.1,"Outras barras próprias para construções, excetos vergalhões","63,02% (Aliq. 4%) 
57,92% (Alíq. 7%) 
49,43% (Alíq. 12%)",35%
8.41.1,10.041.01,7308.90.1,Outros vergalhões,"63,02% (Aliq. 4%) 
57,92% (Alíq. 7%) 
49,43% (Alíq. 12%)",35%
8.42,10.042.00,7214.2,Vergalhões,"58,18% (Alíq. 4%) 
53,24% (Alíq. 7%) 
45% (Alíq. 12%)",45%
8.43,10.043.00,7213,Outros vergalhões,"58,18% (Aliq. 4%) 
53,24% (Alíq. 7%) 
45% (Alíq. 12%)",45%
8.44,10.044.00,7217.10.9,"Fios de ferro ou aço não ligados, não revestidos, mesmo polidos;","58,18% (Aliq. 4%) 
53,24% (Alíq. 7%) 
45% (Alíq. 12%)",45%
8.44.1,10.044.00,7312,"Cordas, cabos, tranças (entrançados), lingas e artefatos semelhantes, de ferro ou aço, não isolados para usos elétricos","75,09% (Aliq. 4%) 
69,62% (Alíq. 7%) 
60,50% (Alíq. 12%)",45%
8.45.0,10.045.00,7217.20.1,"Outros fios de ferro ou aço, não ligados, galvanizados com um teor de carbono superior ou igual a 0,6%, em peso","58,18% (Aliq. 4%) 
53,24% (Alíq. 7%) 
45% (Alíq. 12%)",45%
8.45.1,10.045.01,7217.20.9,"Outros fios de ferro ou aço, não ligados, galvanizados","58,18% (Alíq. 4%) 
53,24% (Alíq. 7%) 
45% (Alíq. 12%)",45%
8.46,10.046.00,7307,"Acessórios para tubos (inclusive uniões, cotovelos, luvas ou mangas), de ferro fundido, ferro ou aço","63,02% (Aliq. 4%) 
57,92% (Alíq. 7%) 
49,43% (Alíq. 12%)",35%
8.47,10.047.00,7308.3,"Portas e janelas, e seus caixilhos, alizares e soleiras de ferro fundido, ferro ou aço","75,09% (Aliq. 4%) 
69,62% (Alíq. 7%) 
60,50% (Alíq. 12%)",45%
8.48,10.048.00,"7308.4 e 
7308.9","Material para andaimes, para armações (cofragens) e para escoramentos, (inclusive armações prontas, para estruturas de concreto armado ou argamassa armada), eletrocalhas e perfilados de ferro fundido, ferro ou aço, próprios para construção, exceto treliças de aço","99,25% (Aliq. 4%) 
93,02% (Alíq. 7%) 
82,64% (Alíq. 12%)",65%
8.49,10.049.00,7308.4,Treliças de aço,"99,25% (Aliq. 4%) 
93,02% (Alíq. 7%) 
82,64% (Alíq. 12%)",65%
8.50,10.050.00,7308.90.9,Telhas metálicas,"75,09% (Aliq. 4%) 
69,62% (Alíq. 7%) 
60,50% (Alíq. 12%)",45%
8.51,10.051.00,7310,"Caixas diversas (tais como caixa de correio, de entrada de água, de energia, de instalação) de ferro fundido, ferro ou aço; próprias para a construção","123,40% (Aliq. 4%) 
116,42% (Alíq. 7%) 
104,78% (Alíq. 12%)",85%
8.52,10.052.00,7313,"Arame farpado, de ferro ou aço arames ou tiras, retorcidos, mesmo farpados, de ferro ou aço, dos tipos utilizados em cercas","47,27% (Alíq. 4%) 
42,67% (Alíq. 7%) 
35% (Alíq. 12%)",35%
8.53,10.053.00,7314,"Telas metálicas, grades e redes, de fios de ferro ou aço","63,02% (Aliq. 4%) 
57,92% (Alíq. 7%) 
49,43% (Alíq. 12%)",35%
8.54,10.054.00,7315.11,"Correntes de rolos, de ferro fundido, ferro ou aço","142,72% (Aliq. 4%) 
135,13% (Alíq. 7%) 
122,49% (Alíq. 12%)",101%
8.55,10.055.00,7315.12.9,"Outras correntes de elos articulados, de ferro fundido, ferro ou aço","142,72% (Aliq. 4%) 
135,13% (Alíq. 7%) 
122,49% (Alíq. 12%)",101%
8.56,10.056.00,7315.82,"Correntes de elos soldados, de ferro fundido, de ferro ou aço","99,25% (Aliq. 4%) 
93,02% (Alíq. 7%) 
82,64% (Alíq. 12%)",65%
8.57,10.057.00,7317,"Tachas, pregos, percevejos, escápulas, grampos ondulados ou biselados e artefatos semelhantes, de ferro fundido, ferro ou aço, mesmo com a cabeça de outra matéria, exceto cobre","58,18% (Alíq. 4%) 
53,24% (Alíq. 7%) 
45% (Alíq. 12%)",45%
8.58,10.058.00,7318,"Parafusos, pinos ou pernos, roscados, porcas, tira-fundos, ganchos roscados, rebites, chavetas, contrapinos ou troços, arruelas (anilhas) (incluindo as de pressão) e artigos semelhantes, de ferro fundido, ferro ou aço","87,17% (Aliq. 4%) 
81,32% (Alíq. 7%) 
71,57% (Alíq. 12%)",55%
8.59.0,10.059.00,7323,"Palha de ferro ou aço, exceto os de uso doméstico classificados na posição NCM 7323.10.00","142,72% (Aliq. 4%) 
135,13% (Alíq. 7%) 
122,49% (Alíq. 12%)",101%
8.59.1,10.059.01,7323,"Esponjas, esfregões, luvas e artefatos semelhantes para limpeza, polimento e usos semelhantes, de ferro ou aço, exceto os de uso doméstico classificados na posição NCM 7323.10.00","142,72% (Aliq. 4%) 
135,13% (Alíq. 7%) 
122,49% (Alíq. 12%)",101%
8.60,10.060.00,7324,"Artefatos de higiene ou de toucador, e suas partes, de ferro fundido, ferro ou aço, incluídas as pias, banheiras, lavatórios, cubas, mictórios, tanques e afins de ferro fundido, ferro ou aço, para uso na construção","99,25% (Aliq. 4%) 
93,02% (Alíq. 7%) 
82,64% (Alíq. 12%)",65%
8.61,10.061.00,7325,"Outras obras moldadas, de ferro fundido, ferro ou aço, para uso na construção civil","123,40% (Aliq. 4%) 
116,42% (Alíq. 7%) 
104,78% (Alíq. 12%)",85%
8.62,10.062.00,7326,Abraçadeiras,"123,40% (Aliq. 4%) 
116,42% (Alíq. 7%) 
104,78% (Alíq. 12%)",85%
8.63,10.063.00,7407,Barras de cobre,"63,02% (Aliq. 4%) 
57,92% (Alíq. 7%) 
49,43% (Alíq. 12%)",35%
8.64,10.064.00,7411.10.1,"Tubos de cobre e suas ligas, para instalações de água quente e gás, de uso na construção","63,02% (Aliq. 4%) 
57,92% (Alíq. 7%) 
49,43% (Alíq. 12%)",35%
8.65,10.065.00,7412,"Acessórios para tubos (por exemplo, uniões, cotovelos, luvas ou mangas) de cobre e suas ligas, para uso na construção","63,02% (Aliq. 4%) 
57,92% (Alíq. 7%) 
49,43% (Alíq. 12%)",35%
8.66,10.066.00,7415,"Tachas, pregos, percevejos, escápulas e artefatos semelhantes, de cobre, ou de ferro ou aço com cabeça de cobre, parafusos, pinos ou pernos, roscados, porcas, ganchos roscados, rebites, chavetas, cavilhas, contrapinos, arruelas (incluídas as de pressão), e artefatos semelhantes, de cobre","99,25% (Aliq. 4%) 
93,02% (Alíq. 7%) 
82,64% (Alíq. 12%)",65%
8.67,10.067.00,7418.2,"Artefatos de higiene/toucador de cobre, para uso na construção","75,09% (Aliq. 4%) 
69,62% (Alíq. 7%) 
60,50% (Alíq. 12%)",45%
8.68,10.068.00,7607.19.9,Manta de subcobertura aluminizada,"87,17% (Aliq. 4%) 
81,32% (Alíq. 7%) 
71,57% (Alíq. 12%)",55%
8.69,10.069.00,7608,"Tubos de alumínio e suas ligas, para refrigeração e ar condicionado, de uso na construção","99,25% (Aliq. 4%) 
93,02% (Alíq. 7%) 
82,64% (Alíq. 12%)",65%
8.70,10.070.00,7609.00.00,"Acessórios para tubos (por exemplo, uniões, cotovelos, luvas ou mangas), de alumínio, para uso na construção","99,25% (Aliq. 4%) 
93,02% (Alíq. 7%) 
82,64% (Alíq. 12%)",65%
